strain	virus	accession	date	region	country	division	location	passage	submitting_lab	age	gender
A/Netherlands/126/1993	flu	EPI366793	1993-02-23	europe	netherlands	netherlands	netherlands	cell	other_database_import	?	?
A/NewYork/774/1993	flu	EPI39835	1993-02-25	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/788/1993	flu	EPI39930	1993-02-26	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/802/1993	flu	EPI40139	1993-03-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/780/1993	flu	EPI39873	1993-03-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/761/1993	flu	EPI36289	1993-03-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/765/1993	flu	EPI36365	1993-03-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/770/1993	flu	EPI37657	1993-03-04	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/794/1993	flu	EPI40025	1993-03-04	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Netherlands/165/1993	flu	EPI366801	1993-03-05	europe	netherlands	netherlands	netherlands	cell	other_database_import	?	?
A/NewYork/759/1993	flu	EPI36251	1993-03-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/768/1993	flu	EPI39759	1993-03-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/792/1993	flu	EPI40006	1993-03-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/798/1993	flu	EPI40082	1993-03-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/803/1993	flu	EPI40158	1993-03-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/801/1993	flu	EPI40120	1993-03-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/772/1993	flu	EPI39797	1993-03-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/787/1993	flu	EPI39911	1993-03-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/799/1993	flu	EPI40101	1993-03-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/791/1993	flu	EPI39987	1993-03-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/800/1993	flu	EPI46402	1993-03-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/775/1993	flu	EPI37695	1993-03-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/755/1993	flu	EPI38702	1993-03-12	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/797/1993	flu	EPI40063	1993-03-16	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/786/1993	flu	EPI37771	1993-03-16	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/769/1993	flu	EPI39778	1993-03-16	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/777/1993	flu	EPI37714	1993-03-20	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/763/1993	flu	EPI36327	1993-03-26	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/781/1993	flu	EPI38721	1993-03-26	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/757/1993	flu	EPI39721	1993-03-26	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/785/1993	flu	EPI38778	1993-03-26	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/773/1993	flu	EPI39816	1993-03-31	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/783/1993	flu	EPI38759	1993-04-01	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/782/1993	flu	EPI38740	1993-04-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/767/1993	flu	EPI37638	1993-04-05	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/789/1993	flu	EPI39949	1993-04-05	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/784/1993	flu	EPI39892	1993-04-19	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/771/1993	flu	EPI37676	1993-04-19	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Netherlands/241/1993	flu	EPI362670	1993-10-13	europe	netherlands	netherlands	netherlands	cell	other_database_import	?	?
A/Stockholm/20/1993	flu	EPI362697	1993-11-03	europe	sweden	stockholm	stockholm	cell	other_database_import	?	?
A/NewYork/751/1993	flu	EPI34921	1993-11-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Lyon/1815/1993	flu	EPI366400	1993-11-30	europe	france	auvergne_rhone_alpes	lyon	cell	other_database_import	?	?
A/Lyon/22686/1993	flu	EPI362633	1993-12-02	europe	france	auvergne_rhone_alpes	lyon	cell	other_database_import	?	?
A/NewYork/712/1993	flu	EPI35624	1993-12-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Netherlands/357/1993	flu	EPI366809	1993-12-06	europe	netherlands	netherlands	netherlands	cell	other_database_import	?	?
A/Bcm/1/1993	flu	EPI359492	1993-12-20	north_america	usa	texas	baylor	cell	other_database_import	?	?
A/Singapore/19/1993	flu	EPI362690	1993-12-21	southeast_asia	singapore	singapore	singapore	cell	other_database_import	?	?
A/NewYork/752/1993	flu	EPI35795	1993-12-30	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/706/1993	flu	EPI46269	1993-12-30	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/723/1994	flu	EPI38151	1994-01-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/704/1994	flu	EPI48359	1994-01-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/730/1994	flu	EPI36574	1994-01-04	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Netherlands/18/1994	flu	EPI366897	1994-01-05	europe	netherlands	netherlands	netherlands	cell	other_database_import	?	?
A/NewYork/709/1994	flu	EPI35586	1994-01-06	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/732/1994	flu	EPI34465	1994-01-06	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/734/1994	flu	EPI36593	1994-01-06	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/743/1994	flu	EPI39118	1994-01-07	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/742/1994	flu	EPI39099	1994-01-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/749/1994	flu	EPI37315	1994-01-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/708/1994	flu	EPI34446	1994-01-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/711/1994	flu	EPI35605	1994-01-12	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/747/1994	flu	EPI37277	1994-01-12	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/721/1994	flu	EPI35719	1994-01-13	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/714/1994	flu	EPI37239	1994-01-14	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/735/1994	flu	EPI38208	1994-01-14	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/740/1994	flu	EPI38284	1994-01-15	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/716/1994	flu	EPI35662	1994-01-17	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/748/1994	flu	EPI37296	1994-01-17	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/744/1994	flu	EPI39137	1994-01-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/717/1994	flu	EPI40391	1994-01-19	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/719/1994	flu	EPI35681	1994-01-20	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/736/1994	flu	EPI38227	1994-01-21	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/720/1994	flu	EPI35700	1994-01-24	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/750/1994	flu	EPI38322	1994-01-25	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/724/1994	flu	EPI38170	1994-01-27	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/725/1994	flu	EPI38189	1994-01-30	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/727/1994	flu	EPI35757	1994-01-31	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/705/1994	flu	EPI37163	1994-01-31	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/728/1994	flu	EPI35776	1994-02-01	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/737/1994	flu	EPI44214	1994-02-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/738/1994	flu	EPI38246	1994-02-04	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/745/1994	flu	EPI39156	1994-02-07	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/733/1994	flu	EPI33584	1994-02-07	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/710/1994	flu	EPI37201	1994-02-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/726/1994	flu	EPI35738	1994-02-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/718/1994	flu	EPI38132	1994-02-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/707/1994	flu	EPI37182	1994-02-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/713/1994	flu	EPI37220	1994-02-14	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/739/1994	flu	EPI38265	1994-02-14	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/753/1994	flu	EPI38341	1994-02-15	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/746/1994	flu	EPI37258	1994-02-21	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/729/1994	flu	EPI36555	1994-02-25	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/722/1994	flu	EPI36536	1994-03-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/741/1994	flu	EPI38303	1994-03-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/731/1994	flu	EPI39080	1994-03-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/HongKong/2/1994	flu	EPI362735	1994-06-01	china	hong_kong	hong_kong	hong_kong	cell	other_database_import	?	?
A/HongKong/1/1994	flu	EPI362728	1994-06-01	china	hong_kong	hong_kong	hong_kong	cell	other_database_import	?	?
A/SouthAustralia/25/1994	flu	EPI362770	1994-06-09	oceania	australia	south_australia	south_australia	cell	other_database_import	?	?
A/NewYork/715/1994	flu	EPI35643	1994-07-29	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/HongKong/56/1994	flu	EPI366888	1994-08-02	china	hong_kong	hong_kong	hong_kong	cell	other_database_import	?	?
A/NewYork/654/1994	flu	EPI34712	1994-11-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/655/1994	flu	EPI36973	1994-11-17	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/657/1994	flu	EPI36441	1994-12-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/659/1994	flu	EPI34750	1994-12-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/688/1994	flu	EPI39061	1994-12-12	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/661/1994	flu	EPI36992	1994-12-15	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/665/1994	flu	EPI34788	1994-12-16	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/663/1994	flu	EPI37011	1994-12-20	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/79/1994	flu	EPI115141	1994-12-21	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/NewYork/696/1994	flu	EPI34351	1994-12-30	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Jitie/1/1995	flu	EPI360594	1995-01-01	china	china	china	china	undetermined	other_database_import	?	?
A/NewYork/691/1995	flu	EPI37125	1995-01-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/671/1995	flu	EPI34826	1995-01-06	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/667/1995	flu	EPI37068	1995-01-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/702/1995	flu	EPI34408	1995-01-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/662/1995	flu	EPI34769	1995-01-09	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/669/1995	flu	EPI34807	1995-01-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/670/1995	flu	EPI36460	1995-01-11	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/286/1995	flu	EPI115157	1995-01-15	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/NewYork/672/1995	flu	EPI34845	1995-01-17	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/676/1995	flu	EPI39042	1995-01-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/692/1995	flu	EPI34313	1995-01-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/690/1995	flu	EPI38094	1995-01-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/674/1995	flu	EPI34864	1995-01-19	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/678/1995	flu	EPI37106	1995-01-20	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/673/1995	flu	EPI38037	1995-01-20	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/689/1995	flu	EPI35567	1995-01-22	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/684/1995	flu	EPI35510	1995-01-23	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/54/1995	flu	EPI115159	1995-01-24	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/NewYork/703/1995	flu	EPI34427	1995-01-24	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/675/1995	flu	EPI36479	1995-01-24	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Siena/3/1995	flu	EPI176077	1995-01-27	europe	italy	tuscany	siena	undetermined	other_database_import	?	?
A/NewYork/698/1995	flu	EPI34389	1995-01-31	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Geneva/A9509/1995	flu	EPI366929	1995-02-01	europe	switzerland	geneva	geneva	cell	other_database_import	?	?
A/NewYork/686/1995	flu	EPI38075	1995-02-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/121/1995	flu	EPI115143	1995-02-03	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/NewYork/687/1995	flu	EPI35548	1995-02-06	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/699/1995	flu	EPI38113	1995-02-07	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/666/1995	flu	EPI37049	1995-02-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/680/1995	flu	EPI48302	1995-02-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/685/1995	flu	EPI35529	1995-02-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/697/1995	flu	EPI34370	1995-02-10	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/255/1995	flu	EPI115147	1995-02-11	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/NewYork/700/1995	flu	EPI37144	1995-02-14	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/677/1995	flu	EPI36498	1995-02-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/668/1995	flu	EPI37087	1995-02-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/681/1995	flu	EPI48321	1995-02-20	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/178/1995	flu	EPI115145	1995-02-20	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/NewYork/658/1995	flu	EPI34731	1995-02-21	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/701/1995	flu	EPI48340	1995-02-23	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/682/1995	flu	EPI36517	1995-03-01	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/660/1995	flu	EPI39023	1995-03-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/695/1995	flu	EPI34332	1995-03-02	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/683/1995	flu	EPI38056	1995-03-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/679/1995	flu	EPI34883	1995-03-03	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/664/1995	flu	EPI37030	1995-03-13	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/693/1995	flu	EPI34902	1995-03-21	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/England/258/1995	flu	EPI115149	1995-03-25	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/England/263/1995	flu	EPI115151	1995-03-31	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/Guangxi/42/1995	flu	EPI3863	1995-04-06	china	china	guangxi	guangxi	undetermined	other_database_import	?	?
A/England/268/1995	flu	EPI115153	1995-04-12	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/England/282/1995	flu	EPI115155	1995-04-21	europe	united_kingdom	england	england	cell	other_database_import	?	?
A/Malaysia/7145/1995	flu	EPI373079	1995-07-03	southeast_asia	malaysia	malaysia	malaysia	undetermined	other_database_import	?	?
A/Victoria/75/1995	flu	EPI362814	1995-07-27	oceania	australia	victoria	victoria	cell	other_database_import	?	?
A/Shanghai/11/1995	flu	EPI360607	1995-08-30	china	china	shanghai	shanghai	undetermined	other_database_import	?	?
A/HongKong/49/1995	flu	EPI366945	1995-09-01	china	hong_kong	hong_kong	hong_kong	cell	other_database_import	?	?
A/Malaysia/7832/1995	flu	EPI373095	1995-09-27	southeast_asia	malaysia	malaysia	malaysia	undetermined	other_database_import	?	?
A/Malaysia/7831/1995	flu	EPI373087	1995-09-27	southeast_asia	malaysia	malaysia	malaysia	undetermined	other_database_import	?	?
A/HongKong/55/1995	flu	EPI362788	1995-10-12	china	hong_kong	hong_kong	hong_kong	cell	other_database_import	?	?
A/NewYork/606/1995	flu	EPI32729	1995-11-28	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/Shanxi/2/1995	flu	EPI360600	1995-12-01	china	china	shanxi	shanxi	undetermined	other_database_import	?	?
A/Shanxi/5/1995	flu	EPI360601	1995-12-01	china	china	shanxi	shanxi	undetermined	other_database_import	?	?
A/Shanxi/28/1995	flu	EPI360602	1995-12-01	china	china	shanxi	shanxi	undetermined	other_database_import	?	?
A/Netherlands/271/1995	flu	EPI362801	1995-12-02	europe	netherlands	netherlands	netherlands	cell	other_database_import	?	?
A/NewYork/634/1995	flu	EPI32976	1995-12-08	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/628/1995	flu	EPI32938	1995-12-12	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/648/1995	flu	EPI33033	1995-12-14	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/609/1995	flu	EPI32767	1995-12-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/610/1995	flu	EPI32786	1995-12-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/639/1995	flu	EPI36422	1995-12-18	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/612/1995	flu	EPI32824	1995-12-19	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/647/1995	flu	EPI35472	1995-12-27	north_america	usa	new_york	new_york	cell	other_database_import	?	?
A/NewYork/611/1995	flu	EPI32805	1995-12-28	north_america	usa	new_york	new_york	cell	other_database_import	?	?
